,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
458,Flin Flon,CA,54.7682,-101.865,-13.29,100,88,3.15,overcast clouds
459,Tsagan Aman,RU,47.5639,46.7218,26.31,70,10,14.12,clear sky
460,Blackwater,AU,-23.5833,148.8833,84.6,36,33,15.57,scattered clouds
461,Husavik,IS,66.0449,-17.3389,28.31,73,100,21.23,light snow
462,Jinchang,CN,38.4953,102.1739,18.01,83,100,8.61,light snow
463,Batagay-Alyta,RU,67.8006,130.4114,-22.76,97,100,2.21,overcast clouds
464,Kelsterbach,DE,50.0667,8.5333,45.45,77,75,21.85,light rain
465,Flinders,AU,-34.5833,150.8552,71.2,75,63,14.43,light rain
466,Mount Gambier,AU,-37.8333,140.7667,77.72,41,11,11.65,few clouds
467,Bathsheba,BB,13.2167,-59.5167,75.81,78,20,9.22,few clouds
468,Irgakly,RU,44.3611,44.7556,36.84,51,97,8.66,overcast clouds
469,Ketchikan,US,55.3422,-131.6461,43.27,93,100,21.85,moderate rain
470,Los Llanos de Aridane,ES,28.6585,-17.9182,66.13,26,0,13.0,clear sky
471,Kandrian,PG,-6.2167,149.55,84.85,72,100,14.05,overcast clouds
472,Chapais,CA,49.7834,-74.8492,-27.62,100,99,3.6,overcast clouds
473,Dukat,RU,62.55,155.55,-14.93,60,30,2.08,scattered clouds
474,Kinango,KE,-4.1372,39.3153,89.47,46,100,5.5,overcast clouds
475,Bariloche,AR,-41.1456,-71.3082,53.94,66,50,2.06,scattered clouds
476,Likasi,CD,-10.9814,26.7333,67.06,91,100,4.14,light rain
477,Kamaishi,JP,39.2667,141.8833,27.55,61,50,10.96,scattered clouds
478,Ahipara,NZ,-35.1667,173.1667,71.22,97,100,6.87,light rain
479,Sven’,RU,53.1822,34.5511,32.11,89,94,10.74,light snow
480,Havre-St-Pierre,CA,50.2334,-63.5986,3.2,59,20,12.66,few clouds
481,Changli,CN,39.7042,119.1506,35.92,31,76,8.7,broken clouds
482,The Pas,CA,53.8251,-101.2541,-12.98,77,20,0.0,few clouds
483,Bonfim,BR,3.0833,-59.95,75.38,84,100,8.61,overcast clouds
484,Fort Nelson,CA,58.8053,-122.7002,6.39,85,100,4.61,overcast clouds
485,Melfi,IT,40.9965,15.6514,50.4,78,80,2.89,broken clouds
486,Birmitrapur,IN,22.4,84.7667,75.52,21,47,6.35,scattered clouds
487,Tagusao,PH,9.1924,117.8141,84.25,68,93,7.05,overcast clouds
488,Kalmunai,LK,7.4167,81.8167,82.42,56,39,9.75,scattered clouds
489,Labuhan,ID,-6.8844,112.2051,82.74,81,100,16.98,overcast clouds
490,Zhezkazgan,KZ,47.8043,67.7144,19.38,73,20,20.13,light snow
491,Taoudenni,ML,22.6783,-3.9836,63.63,14,92,8.81,overcast clouds
492,Kaohsiung City,TW,22.6163,120.3133,73.35,65,75,5.01,broken clouds
493,Kintinku,TZ,-5.8833,35.2333,69.22,84,100,1.12,overcast clouds
494,Altay,CN,47.8667,88.1167,19.56,72,0,2.19,clear sky
495,Emerald,AU,-23.5333,148.1667,84.34,35,34,10.6,scattered clouds
496,Vung Tau,VN,10.346,107.0843,82.2,69,55,24.9,broken clouds
497,The Valley,AI,18.217,-63.0578,77.09,77,94,21.77,overcast clouds
498,Sovetskiy,RU,61.3614,63.5842,15.93,90,78,7.67,broken clouds
499,Carutapera,BR,-1.195,-46.02,75.15,94,100,5.7,overcast clouds
500,Forbes,AU,-33.3833,148.0167,75.92,38,97,18.99,overcast clouds
501,Liverpool,GB,53.4106,-2.9779,45.68,88,75,10.0,broken clouds
502,San Ignacio,BZ,17.1561,-89.0714,68.14,94,100,6.91,overcast clouds
503,Dali,CN,25.7,100.1833,51.89,52,87,9.6,overcast clouds
504,Lumut,MY,4.2323,100.6298,88.16,74,20,5.75,few clouds
505,Saldanha,ZA,-33.0117,17.9442,73.92,56,81,9.98,broken clouds
506,Iwaki,JP,37.05,140.8833,39.34,45,1,5.01,clear sky
507,Maceió,BR,-9.6658,-35.7353,72.84,88,0,3.44,clear sky
508,Fukuechō,JP,32.6881,128.8419,41.36,52,75,10.36,broken clouds
509,Bozoum,CF,6.3193,16.3799,79.25,16,67,9.06,broken clouds
510,Montebello,US,34.0095,-118.1053,64.63,35,0,0.0,clear sky
511,Aksarka,RU,66.5606,67.7975,-13.67,99,77,4.5,broken clouds
512,Pacific Grove,US,36.6177,-121.9166,52.27,71,0,1.99,clear sky
513,Liuli,TZ,-11.0833,34.6333,76.46,75,100,0.69,overcast clouds
514,Quelimane,MZ,-17.8786,36.8883,85.95,74,40,12.66,scattered clouds
515,Palmer,US,42.1584,-72.3287,12.85,71,0,0.0,clear sky
516,Thyolo,MW,-16.0678,35.1405,71.92,72,28,6.17,scattered clouds
517,Abakaliki,NG,6.3163,8.1169,80.08,16,60,12.5,broken clouds
518,Playa del Carmen,MX,20.6274,-87.0799,75.22,88,40,11.5,scattered clouds
519,Alamosa,US,37.4695,-105.87,4.51,92,0,5.75,mist
520,Watertown,US,42.3709,-71.1828,15.03,61,0,5.01,clear sky
521,Kenora,CA,49.8167,-94.4337,4.98,85,75,5.75,broken clouds
522,Kloulklubed,PW,7.0419,134.2556,82.9,78,31,20.87,scattered clouds
523,Guatavita,CO,4.9366,-73.8331,51.51,95,100,1.05,overcast clouds
524,Povenets,RU,62.8487,34.8262,14.32,94,100,11.25,snow
525,Marawi,PH,7.9986,124.2928,73.65,80,83,7.67,broken clouds
526,Mitsamiouli,KM,-11.3847,43.2844,82.85,75,98,9.44,light rain
527,Ferme-Neuve,CA,46.7001,-75.4493,-7.82,89,100,2.98,overcast clouds
528,Altea,ES,38.5989,-0.0514,56.66,77,100,4.72,overcast clouds
529,Ngatea,NZ,-37.2833,175.5,73.42,99,100,1.83,light rain
530,Spas-Demensk,RU,54.4122,34.0226,29.97,90,100,9.1,overcast clouds
531,Benjamin Constant,BR,-4.3831,-70.0311,73.53,96,81,1.72,broken clouds
532,Samaná,DO,19.2056,-69.3369,71.17,87,52,10.47,broken clouds
533,Tarauacá,BR,-8.1614,-70.7656,72.46,96,100,0.76,overcast clouds
534,Inta,RU,66.0317,60.1659,-3.12,91,70,1.07,broken clouds
535,Humaitá,BR,-7.5061,-63.0208,71.76,96,100,1.63,overcast clouds
536,High Rock,BS,26.6208,-78.2833,64.42,69,99,10.07,overcast clouds
537,Barsovo,RU,61.1667,73.1667,15.93,93,100,9.53,overcast clouds
538,Talaya,RU,61.3833,152.75,-30.95,89,26,1.99,scattered clouds
539,Aného,TG,6.2333,1.6,81.95,76,3,3.87,clear sky
540,Ust'-Kut,RU,56.7938,105.7672,20.34,86,100,8.08,overcast clouds
541,Dorado,PR,18.4588,-66.2677,71.92,99,100,12.1,moderate rain
542,Beira,MZ,-19.8436,34.8389,78.89,89,75,12.66,broken clouds
543,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,40,12.66,scattered clouds
544,High Level,CA,58.5169,-117.136,-5.69,77,75,3.44,broken clouds
545,Saint-Joseph,RE,-21.3667,55.6167,84.58,73,100,14.5,overcast clouds
546,Altamont,US,42.2068,-121.7372,36.77,71,0,3.0,clear sky
547,Cruzeiro do Oeste,BR,-23.785,-53.0733,67.33,98,99,4.03,overcast clouds
548,Fairbanks,US,64.8378,-147.7164,5.59,81,100,0.0,light snow
549,Sikandra Rao,IN,27.7,78.4,67.51,43,0,4.72,clear sky
550,Launceston,AU,-41.45,147.1667,71.24,54,3,4.0,clear sky
551,Joshīmath,IN,30.5667,79.5667,55.22,48,33,6.31,scattered clouds
552,Henties Bay,NA,-22.116,14.2845,70.86,77,84,4.56,broken clouds
553,Mareeba,AU,-17.0,145.4333,78.48,87,30,3.38,scattered clouds
554,Chadiza,ZM,-14.0678,32.4392,70.65,83,100,3.04,light rain
555,Nānākuli,US,21.3906,-158.1547,74.71,68,0,5.75,clear sky
556,Montreux,CH,46.433,6.9114,42.21,89,99,1.01,overcast clouds
557,Novokizhinginsk,RU,51.6115,109.5917,17.92,82,96,8.37,overcast clouds
558,Finale Ligure,IT,44.1695,8.3436,52.86,80,22,1.01,few clouds
559,Jiexiu,CN,37.0244,111.9125,31.33,42,100,1.43,overcast clouds
560,Kavaratti,IN,10.5669,72.642,78.37,62,7,6.51,clear sky
561,Lincoln,US,40.8,-96.667,31.28,72,0,1.99,clear sky
562,Ciudad Bolivar,VE,8.1222,-63.5497,74.59,81,55,7.65,broken clouds
563,Palatka,US,29.6486,-81.6376,54.97,95,100,7.43,light rain
564,Ostrovnoy,RU,68.0531,39.5131,12.09,81,96,28.88,overcast clouds
565,Shimoda,JP,34.6667,138.95,40.1,46,17,23.44,few clouds
566,Marystown,CA,47.1666,-55.1483,21.85,100,99,10.0,overcast clouds
567,Béjar,ES,40.3864,-5.7634,36.57,68,2,5.95,clear sky
568,Diamantino,BR,-14.4086,-56.4461,71.64,95,96,0.51,overcast clouds
569,Mbinga,TZ,-10.9333,35.0167,66.72,82,99,4.74,overcast clouds
570,Sisimiut,GL,66.9395,-53.6735,-0.65,96,99,4.14,light snow
571,Sept-Îles,CA,50.2001,-66.3821,-0.94,55,0,5.01,clear sky
572,Løgumkloster,DK,55.0594,8.9551,42.94,94,100,15.73,overcast clouds
573,Takaka,NZ,-40.85,172.8,61.56,81,100,13.94,light rain
574,Zlobin,HR,45.2924,14.6541,40.3,85,0,1.14,clear sky
575,Brae,GB,60.3964,-1.353,39.11,61,88,23.17,overcast clouds
576,Kupang,ID,-10.1667,123.5833,83.52,76,90,10.98,light rain
577,Zavolzhsk,RU,57.4823,42.1378,10.29,95,99,4.14,overcast clouds
578,Korem,ET,12.5058,39.5228,59.38,66,99,7.9,overcast clouds
579,Kuril'sk,RU,45.2333,147.8833,22.35,87,100,15.23,light snow
580,Kruisfontein,ZA,-34.0033,24.7314,81.88,44,0,10.47,clear sky
581,Belmonte,BR,-15.8631,-38.8828,73.9,85,37,4.05,scattered clouds
582,Lamu,KE,-2.2717,40.902,88.02,64,91,9.01,overcast clouds
583,Saint-Nazaire,FR,47.2833,-2.2,51.78,89,75,19.57,broken clouds
584,Muros,ES,42.7762,-9.0603,44.24,88,97,8.9,overcast clouds
585,Price,US,39.5994,-110.8107,31.26,55,0,11.5,clear sky
586,Ambilobe,MG,-13.2,49.05,85.06,68,24,8.5,few clouds
587,Rechka Vydrino,RU,51.485,104.8461,27.7,82,100,3.33,overcast clouds
588,Aripuanã,BR,-9.1667,-60.6333,70.03,99,30,1.3,scattered clouds
589,Erenhot,CN,43.6475,111.9767,13.86,74,0,9.75,clear sky
590,Kushiro,JP,42.975,144.3747,27.55,46,40,4.61,scattered clouds
591,Misratah,LY,32.3754,15.0925,61.86,52,54,4.83,broken clouds
592,Viloco,BO,-16.95,-67.55,44.46,94,100,4.23,overcast clouds
593,Berbera,SO,10.4396,45.0143,78.3,75,100,12.21,light rain
594,Diré,ML,12.2833,-10.9667,70.99,16,2,2.68,clear sky
595,Poum,NC,-20.2333,164.0167,78.82,85,100,3.38,moderate rain
596,Nyurba,RU,63.2842,118.3319,-3.23,98,100,4.07,overcast clouds
597,Khasan,RU,42.4308,130.6434,22.5,46,38,17.34,scattered clouds
598,Viçosa,BR,-20.7539,-42.8819,67.19,98,100,8.66,overcast clouds
599,Olinda,BR,-8.0089,-34.8553,74.93,83,40,4.61,scattered clouds
600,Natal'insk,RU,56.4739,57.8698,21.56,85,100,6.38,overcast clouds
601,Galveston,US,29.3669,-94.9669,44.96,73,0,0.0,clear sky
602,Birobidzhan,RU,48.8,132.95,1.89,94,96,4.14,overcast clouds
603,Padang,ID,-0.9492,100.3543,87.85,77,100,3.71,overcast clouds
604,Changtu,CN,42.7788,124.0955,20.71,39,4,9.19,clear sky
605,Lompoc,US,34.6391,-120.4579,55.56,84,0,8.05,clear sky
606,Panabá,MX,21.2833,-88.2667,67.89,93,8,6.15,clear sky
607,Edd,ER,13.9297,41.6925,78.49,66,88,16.8,overcast clouds
608,Kotkhai,IN,31.1167,77.5333,56.53,35,97,4.41,overcast clouds
609,Marabu,MY,4.4148,114.0089,86.14,70,40,9.22,light rain
610,Lipari,IT,38.4674,14.954,59.54,75,96,0.49,overcast clouds
611,Tucumã,BR,-0.1833,-50.05,74.77,93,100,4.05,light rain
612,Bellavista,PE,-7.0561,-76.5911,69.44,99,80,0.92,broken clouds
613,Bereda,ES,43.2686,-7.5406,35.42,100,98,0.63,overcast clouds
614,Santa Rosa,PH,14.3122,121.1114,86.11,72,75,18.12,broken clouds
615,Medina,SA,24.4686,39.6142,64.83,17,0,20.71,clear sky
616,Champerico,GT,14.3,-91.9167,80.35,70,63,6.4,broken clouds
617,Nouadhibou,MR,20.931,-17.0347,60.78,100,75,12.66,fog
618,Turiaçu,BR,-1.6633,-45.3717,73.65,96,100,3.47,overcast clouds
619,Deputatsky,RU,69.3,139.9,-31.13,100,88,2.62,overcast clouds
620,Kununurra,AU,-15.7667,128.7333,84.18,84,86,8.05,heavy intensity rain
621,Parabel',RU,58.6978,81.4825,19.02,84,100,7.72,overcast clouds
622,Pochutla,MX,15.7432,-96.4661,69.82,60,7,3.27,clear sky
623,Djebeniana,TN,35.035,10.9081,49.8,74,100,7.27,overcast clouds
624,Zhaoyang,CN,42.682,126.0305,12.79,77,99,5.59,overcast clouds
625,Gilgit,PK,35.9221,74.3087,34.32,56,100,0.89,overcast clouds
626,La Libertad,EC,-2.2333,-80.9,74.5,83,100,7.25,overcast clouds
627,Port-Gentil,GA,-0.7193,8.7815,79.57,78,14,10.38,few clouds
628,Port Macquarie,AU,-31.4333,152.9167,68.9,67,70,15.41,broken clouds
629,İskilip,TR,40.7353,34.4739,25.05,93,100,4.65,overcast clouds
630,Zyryanka,RU,65.75,150.85,-31.68,98,7,2.71,clear sky
631,Vaitape,PF,-16.5167,-151.75,81.46,74,31,21.03,scattered clouds
632,Palauig,PH,15.435,119.9045,83.21,63,26,5.35,scattered clouds
633,Merritt Island,US,28.5392,-80.672,58.01,86,100,6.91,overcast clouds
634,Suntar,RU,62.1444,117.6319,6.55,97,100,3.15,overcast clouds
635,Pijijiapan,MX,15.7011,-93.23,67.78,67,8,16.26,clear sky
636,Trairi,BR,-3.2778,-39.2689,75.13,89,51,5.5,broken clouds
637,Chimbote,PE,-9.0853,-78.5783,68.27,89,88,4.76,overcast clouds
638,Saint-Chamond,FR,45.4737,4.5254,34.88,80,75,10.36,broken clouds
639,Province of Mantua,IT,45.1667,10.7833,43.7,90,8,4.0,clear sky
640,Ongandjera,NA,-17.8833,15.0667,70.77,49,100,1.48,overcast clouds
641,Iguape,BR,-24.7081,-47.5553,76.06,88,93,9.37,overcast clouds
642,Olavarría,AR,-36.8927,-60.3225,51.03,88,99,11.05,overcast clouds
643,Pascagoula,US,30.3658,-88.5561,32.22,95,0,3.44,clear sky
644,Huanan,CN,46.2167,130.5167,7.88,87,97,13.8,overcast clouds
645,Belle Glade,US,26.6845,-80.6676,73.38,91,71,6.78,broken clouds
646,Berdigestyakh,RU,62.0989,126.6992,-14.94,100,99,2.19,overcast clouds
647,Lonevåg,NO,60.5262,5.4937,37.27,89,100,5.01,overcast clouds
648,Anloga,GH,5.7947,0.8973,81.59,79,7,4.88,clear sky
649,Marquette,US,46.5333,-87.6335,15.33,71,99,7.94,overcast clouds
650,Vallenar,CL,-28.5708,-70.7581,65.89,65,0,2.53,clear sky
651,Goundam,ML,16.4145,-3.6708,62.76,14,0,9.35,clear sky
652,Khuzhir,RU,53.1939,107.3397,23.04,82,100,9.6,overcast clouds
653,Goderich,CA,43.7501,-81.7165,18.91,79,100,11.5,overcast clouds
654,Kulhudhuffushi,MV,6.6221,73.07,80.89,64,37,6.58,scattered clouds
655,Montepuez,MZ,-13.1256,38.9997,81.0,64,26,4.23,light rain
656,Kudahuvadhoo,MV,2.6708,72.8944,82.2,68,58,11.86,broken clouds
657,Lokosovo,RU,61.1333,74.8167,18.48,94,100,7.58,overcast clouds
658,Kottagūdem,IN,17.55,80.6333,90.09,24,99,1.28,overcast clouds
659,San Miguel,SV,13.4833,-88.1833,68.63,69,2,4.12,clear sky
660,Lasem,ID,-6.6922,111.4527,83.77,74,99,15.55,overcast clouds
661,Novi Ligure,IT,44.7608,8.7896,50.83,1,8,1.01,clear sky
662,Benjamín Hill,MX,30.1667,-111.1,53.26,20,1,6.91,clear sky
663,Departamento de Maldonado,UY,-34.6667,-54.9167,64.22,88,100,14.97,light rain
664,Khani,GE,41.9563,42.9566,27.97,90,100,2.84,light snow
665,Shingū,JP,33.7333,135.9833,40.91,52,53,10.69,broken clouds
666,Araouane,ML,18.9048,-3.5265,61.77,13,0,8.23,clear sky
667,Sédhiou,SN,12.7081,-15.5569,59.13,40,0,2.35,clear sky
668,Port Blair,IN,11.6667,92.75,86.04,70,20,9.22,few clouds
669,Mohelnice,CZ,49.777,16.9195,40.24,83,100,14.92,light rain
670,Doha,QA,25.2867,51.5333,69.78,40,0,14.97,clear sky
671,Methóni,GR,36.8197,21.7049,59.22,79,45,7.92,scattered clouds
672,Ha Giang,VN,22.8333,104.9833,55.63,98,100,2.37,overcast clouds
673,Blairgowrie,GB,56.5916,-3.3405,36.61,92,89,4.0,snow
674,Puerto Escondido,MX,15.85,-97.0667,72.84,62,6,6.06,clear sky
675,Inuvik,CA,68.3499,-133.7218,-26.54,75,100,2.3,light snow
676,Acaraú,BR,-2.8856,-40.12,77.41,85,93,8.16,overcast clouds
677,Namatanai,PG,-3.6667,152.4333,82.26,74,97,9.13,overcast clouds
678,Sakhnovshchyna,UA,49.1517,35.872,29.19,92,63,10.0,broken clouds
679,Kindersley,CA,51.4668,-109.1682,30.22,80,75,25.32,broken clouds
680,Joplin,US,37.0842,-94.5133,31.86,73,0,1.99,clear sky
681,Rapid City,US,44.0805,-103.231,36.7,63,20,8.99,few clouds
682,San Isidro,PE,-12.1167,-77.05,67.59,55,0,1.01,clear sky
683,Gwadar,PK,25.1216,62.3254,74.35,68,2,9.44,clear sky
684,Santa Vitória do Palmar,BR,-33.5189,-53.3681,63.99,89,76,8.93,broken clouds
685,Nanganga,TZ,-10.3833,39.15,84.99,59,78,9.95,broken clouds
